Group,Animal,AnimalID,Time,ID,MS ID,Order
Y,3,Y_3,4,Y3_t4,y2_6,99
Y,3,Y_3,2,Y3_t2,y2_7,100
A,3,A_3,5,A3_t5,a2_1,101
A,3,A_3,0,A3_t0,a2_2,102
A,3,A_3,1,A3_t1,a2_3,103
A,3,A_3,3,A3_t3,a2_4,104
A,3,A_3,6,A3_t6,a2_5,105
A,3,A_3,4,A3_t4,a2_6,106
A,3,A_3,2,A3_t2,a2_7,107
blank,blank,blank,blank,blank,blank,108
Y,1,Y_1,5,Y1_t5,y3_1,109
Y,1,Y_1,0,Y1_t0,y3_2,110
Y,1,Y_1,1,Y1_t1,y3_3,111
Y,1,Y_1,3,Y1_t3,y3_4,112
Y,1,Y_1,6,Y1_t6,y3_5,113
Y,1,Y_1,4,Y1_t4,y3_6,114
Y,1,Y_1,2,Y1_t2,y3_7,115
A,1,A_1,5,A1_t5,a3_1,116
A,1,A_1,0,A1_t0,a3_2,117
A,1,A_1,1,A1_t1,a3_3,118
A,1,A_1,3,A1_t3,a3_4,119
A,1,A_1,6,A1_t6,a3_5,120
A,1,A_1,4,A1_t4,a3_6,121
A,1,A_1,2,A1_t2,a3_7,122
blank,blank,blank,blank,blank,blank,123
Y,0,Y_0,5,Y0_t5,y4_1,124
Y,0,Y_0,0,Y0_t0,y4_2,125
Y,0,Y_0,1,Y0_t1,y4_3,126
Y,0,Y_0,3,Y0_t3,y4_4,127
Y,0,Y_0,6,Y0_t6,y4_5,128
Y,0,Y_0,4,Y0_t4,y4_6,129
Y,0,Y_0,2,Y0_t2,y4_7,130
A,0,A_0,5,A0_t5,a4_1,131
A,0,A_0,0,A0_t0,a4_2,132
A,0,A_0,1,A0_t1,a4_3,133
A,0,A_0,3,A0_t3,a4_4,134
A,0,A_0,6,A0_t6,a4_5,135
A,0,A_0,4,A0_t4,a4_6,136
A,0,A_0,2,A0_t2,a4_7,137
blank,blank,blank,blank,blank,blank,138
Y,2,Y_2,5,Y2_t5,y5_1,139
Y,2,Y_2,0,Y2_t0,y5_2,140
Y,2,Y_2,1,Y2_t1,y5_3,141
Y,2,Y_2,3,Y2_t3,y5_4,142
Y,2,Y_2,6,Y2_t6,y5_5,143
Y,2,Y_2,4,Y2_t4,y5_6,144
Y,2,Y_2,2,Y2_t2,y5_7,145
A,2,A_2,5,A2_t5,a5_1,146
A,2,A_2,0,A2_t0,a5_2,147
A,2,A_2,1,A2_t1,a5_3,148
A,2,A_2,3,A2_t3,a5_4,149
A,2,A_2,6,A2_t6,a5_5,150
A,2,A_2,4,A2_t4,a5_6,151
A,2,A_2,2,A2_t2,a5_7,152
blank,blank,blank,blank,blank,blank,153
A,6,A_6,5,A6_t5,a6_1,154
