label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,A1T0,A3T0,A4T0,A5T0,A5T1,A6T0,blank,blank_20230307115508,blank_20230306132712,blank_20230306165253,blank_20230306201833,blank_20230307140540,blank_20230307143122,O1T0,O1T2,O2T0,O2T1,O2T2,O4T0,O5T0,W1T0,W2T0,W2T1,W3T0,W3T1,W4T0,W4T1,Y1T2,Y2T0,Y4T0,Y4T1,Y5T1
g,731,731,5,195.050613,12.705,0.568347,[M-H]-,,Galactonic acid,Galactonic acid,C6H12O7,0.005,2.112203,195.050613,10552773.00,14964617.00,11610672.00,4076525.25,35811772.00,6488784.00,8540.83,237507.86,6167.10,270448.09,212104.08,227413.45,107045.50,8288226.50,9062768.00,4987035.50,4496704.00,16636772.00,7115684.50,8956910.00,40025396.00,67684432.00,179605440.00,112112216.00,57078892.00,23231078.00,68419768.00,24183926.00,100979704.00,33914356.00,39960368.00,22201120.00
g,736,736,29,194.045761,4.263,0.821479,[M-H]-,,Salicyluric acid,Salicyluric acid,C9H9NO4,1.263,0.629080,194.045761,29355754.00,140931888.00,105190944.00,47479596.00,79225544.00,132181760.00,154585.14,153677.47,137693.61,139477.02,132888.89,142256.36,105676.73,35653300.00,39045488.00,21523536.00,284832.97,90542744.00,28779574.00,33602148.00,54020716.00,104346304.00,161985536.00,88872144.00,97982488.00,52984972.00,131363968.00,171680848.00,136397456.00,102109464.00,224414288.00,64974844.00
g,741,741,25,282.084015,9.519,0.837964,[M-H]-,,Guanosine,Guanosine,C10H13N5O5,0.061,1.298232,282.084015,52160.47,143291.86,103817.88,100580.85,161139.73,91333.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158464.50,152147.61,70784.31,74787.19,278343.41,158771.70,184027.80,174759.69,279489.41,339207.88,411302.50,230920.42,170670.95,217341.30,157068.33,377802.66,192772.95,198900.73,89035.00
g,742,742,32,281.248230,2.766,0.829051,[M-H]-,,C18:1(Oleic acid),C18:1(Oleic acid),C18H34O2,0.306,1.302090,281.248230,41201184.00,67892616.00,10255160.00,28531520.00,15815511.00,25811208.00,2942297.25,2364933.75,2450327.00,2909472.00,2663957.75,1938169.62,2022795.62,52642404.00,14212088.00,63868916.00,33620260.00,10552537.00,93991816.00,82531328.00,42158732.00,28343802.00,19785986.00,41127492.00,10097456.00,50833636.00,8412773.00,21313018.00,32949134.00,27303672.00,8980107.00,15790780.00
g,745,745,31,279.232605,2.663,0.829784,[M-H]-,,C18:2(Linoleic acid),C18:2(Linoleic acid),C18H32O2,0.193,1.202198,279.232605,10171975.00,16633033.00,2600545.25,5223284.50,9723063.00,6527667.50,394168.97,334006.91,327237.72,391712.47,380815.50,314424.91,296909.53,11224861.00,9813863.00,12501123.00,11790716.00,4776754.00,21542806.00,18717504.00,11755683.00,9698440.00,11135155.00,14913536.00,8719707.00,11418421.00,11033599.00,9370508.00,8656635.00,8912025.00,5750928.50,5935421.50
g,749,749,26,277.216980,2.517,0.856174,[M-H]-,,C18:3,C18:3,C18H30O2,0.047,1.210939,277.216980,614990.50,955631.31,177657.70,406111.25,1026326.94,443613.28,30341.78,32527.69,28142.00,15112.28,22526.21,11683.00,17912.75,611720.12,1097510.38,543210.19,1179713.38,483085.91,1406609.00,917918.06,759080.50,518447.34,847135.69,866159.44,906592.25,572623.56,998284.94,873111.69,532545.50,573831.69,706882.56,388687.12
g,755,755,9,275.014740,11.635,0.799786,[M-H]-,,6-Phosphogluconic acid,6-Phosphogluconic acid,C6H13O10P,-1.000,9.543077,275.014740,8659.51,5244.56,11417.27,8179.82,3056.30,5315.03,180.95,0.00,0.00,0.00,0.00,0.00,177.54,44918.41,25824.72,35734.36,4898.58,6672.35,34322.70,34114.58,8425.09,6000.53,2219.96,2750.46,3767.70,13842.41,1584.19,5762.05,2698.96,6897.25,3049.38,12782.27
g,756,756,17,275.021118,13.413,0.850517,[M-H]-,,6-Phosphogluconic acid,6-Phosphogluconic acid,C6H13O10P,-1.000,13.648819,275.021118,19463.02,72058.12,145758.64,349593.72,161169.64,229982.44,0.00,0.00,0.00,322.32,0.00,0.00,0.00,133505.64,74305.12,139213.20,1716.96,32641.73,60875.22,222664.80,7638.61,72153.29,241470.33,337131.72,53042.18,31299.80,310554.12,10924.57,308896.03,117200.68,32737.26,6629.01
g,758,758,27,230.139496,7.051,0.826190,[M-H]-,,Butyryl carnitine C4,Butyryl carnitine C4,C11H21NO4,0.999,1.259743,230.139496,116047.69,286130.44,211360.20,236625.58,258609.67,270517.66,1586.34,2977.81,3074.02,4193.93,2767.15,1435.18,2761.83,180267.14,279671.59,124595.02,79440.51,747287.44,194550.20,212837.12,439706.62,631012.56,815202.81,630699.69,321250.41,264585.00,645429.62,437731.75,845456.00,427662.72,795618.19,207185.27
g,761,761,32,267.072815,8.167,0.836674,[M-H]-,,Inosine,Inosine,C10H12N4O5,0.263,2.513865,267.072815,114425.28,277473.97,192959.02,166280.16,320652.84,229506.05,11099.84,12229.34,12847.11,9872.47,10316.35,11603.31,10317.30,213252.75,237123.67,96958.41,99722.23,483196.28,175794.42,326136.94,332757.22,522109.78,579419.69,1577530.88,220372.83,1142562.50,593003.19,298775.28,858692.94,429206.53,539546.75,149937.89
g,763,763,25,266.089081,7.463,0.841824,[M-H]-,,Adenosine,Adenosine,C10H13N5O4,1.037,1.490959,266.089081,136382.42,483172.72,340221.84,245147.36,586977.81,380784.50,502.92,259.76,233.42,285.21,163.66,324.24,289.33,218020.42,276569.88,104127.59,45672.28,518008.25,168645.44,247350.02,406339.28,1021907.56,891567.50,727528.69,335960.66,213702.39,559302.94,737048.06,1795677.88,668639.75,1196153.50,203622.50
g,766,766,1,264.952637,14.838,0.663808,[M-H]-,,"2,3-Diphosphoglyceric acid","2,3-Diphosphoglyceric acid",C3H8O10P2,-1.000,2.418812,264.952637,30634.19,61314.22,59066.86,34353.33,92366.10,67025.20,1621.46,3859.65,2115.52,1681.25,944.04,1655.42,1840.67,44945.45,43095.51,10694.20,25486.89,61651.09,23705.35,47876.70,45946.85,140128.56,138084.27,146062.30,73710.27,36682.02,98374.45,61178.07,159361.19,77159.27,56704.32,49926.84
